,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
18678,21779,M,20050211,기타,미혼,A04-00,A06-01
18679,28434,M,20050211,"구직자,근로자,예비창업자",미혼,A04-02,A06-01
18680,15014,F,20050212,기타,미혼,A04-00,A06-01
18681,15168,M,20050212,기타,미혼,A04-00,A06-01
18682,6010,M,20050213,False,,A04-00,A06-00
18683,26107,M,20050213,False,,A04-00,A06-00
18684,5373,M,20050214,기타,미혼,A04-00,A06-01
18685,5073,M,20050215,기타,미혼,A04-00,A06-01
18686,6431,M,20050215,기타,,A04-00,A06-00
18687,10417,M,20050215,기타,미혼,A04-00,A06-01
18688,12465,M,20050215,기타,미혼,A04-00,A06-01
18689,14016,F,20050215,기타,미혼,A04-00,A06-01
18690,22700,F,20050215,False,,A04-00,A06-00
18691,27230,M,20050215,기타,미혼,A04-00,A06-01
18692,6083,M,20050216,False,,A04-00,A06-00
18693,13899,M,20050216,기타,미혼,A04-00,A06-01
18694,5280,F,20050217,기타,미혼,A04-00,A06-01
18695,7264,M,20050217,기타,미혼,A04-00,A06-01
18696,10053,F,20050217,기타,미혼,A04-00,A06-01
18697,10058,M,20050217,기타,미혼,A04-00,A06-01
18698,23086,M,20050217,"대학(원)생,기타",미혼,A04-01,A06-01
18699,24152,F,20050217,기타,,A04-00,A06-00
18700,26391,M,20050217,기타,미혼,A04-00,A06-01
18701,8649,F,20050218,기타,미혼,A04-00,A06-01
18702,10934,M,20050218,기타,,A04-00,A06-00
18703,21591,F,20050218,기타,미혼,A04-00,A06-01
18704,27353,M,20050218,기타,미혼,A04-00,A06-01
18705,5195,M,20050219,기타,미혼,A04-00,A06-01
18706,7477,M,20050219,False,미혼,A04-00,A06-01
18707,5052,F,20050220,기타,미혼,A04-00,A06-01
18708,9128,M,20050220,"구직자,기타",미혼,A04-02,A06-01
18709,9501,M,20050220,기타,미혼,A04-00,A06-01
18710,10713,M,20050220,기타,미혼,A04-00,A06-01
18711,11042,M,20050220,기타,미혼,A04-00,A06-01
18712,23974,F,20050220,기타,미혼,A04-00,A06-01
18713,9192,M,20050221,False,,A04-00,A06-00
18714,16991,M,20050221,기타,미혼,A04-00,A06-01
18715,26314,M,20050221,기타,미혼,A04-00,A06-01
18716,10527,M,20050222,기타,미혼,A04-00,A06-01
18717,15745,M,20050222,False,,A04-00,A06-00
18718,17882,F,20050222,기타,미혼,A04-00,A06-01
18719,26576,F,20050222,False,,A04-00,A06-00
18720,8780,F,20050223,기타,미혼,A04-00,A06-01
18721,27968,M,20050223,기타,미혼,A04-00,A06-01
18722,7190,M,20050224,False,,A04-00,A06-00
18723,10641,F,20050224,기타,미혼,A04-00,A06-01
18724,10847,M,20050224,기타,,A04-00,A06-00
